User_given_rating,Genuineness,Willingness,Seller_rating
1,1,1,5
1,1,2,6
1,1,3,7
1,1,4,9
1,1,5,10
1,2,1,6
1,2,2,8
1,2,3,9
1,2,4,10
1,2,5,12
1,3,1,8
1,3,2,9
1,3,3,11
1,3,4,12
1,3,5,13
1,4,1,9
1,4,2,11
1,4,3,12
1,4,4,14
1,4,5,15
1,5,1,11
1,5,2,13
1,5,3,14
1,5,4,15
1,5,5,17
2,1,1,5
2,1,2,7
2,1,3,8
2,1,4,10
2,1,5,11
2,2,1,7
2,2,2,9
2,2,3,10
2,2,4,11
2,2,5,13
2,3,1,9
2,3,2,10
2,3,3,12
2,3,4,13
2,3,5,14
2,4,1,10
2,4,2,12
2,4,3,13
2,4,4,15
2,4,5,16
2,5,1,12
2,5,2,13
2,5,3,15
2,5,4,16
2,5,5,18
3,1,1,6
3,1,2,8
3,1,3,9
3,1,4,11
3,1,5,12
3,2,1,8
3,2,2,9
3,2,3,11
3,2,4,12
3,2,5,14
3,3,1,10
3,3,2,11
3,3,3,13
3,3,4,14
3,3,5,15
3,4,1,11
3,4,2,13
3,4,3,14
3,4,4,16
3,4,5,17
3,5,1,13
3,5,2,14
3,5,3,16
3,5,4,17
3,5,5,19
4,1,1,7
4,1,2,9
4,1,3,10
4,1,4,12
4,1,5,13
4,2,1,9
4,2,2,10
4,2,3,12
4,2,4,13
4,2,5,15
4,3,1,11
4,3,2,12
4,3,3,13
4,3,4,15
4,3,5,16
4,4,1,12
4,4,2,14
4,4,3,15
4,4,4,17
4,4,5,18
4,5,1,14
4,5,2,15
4,5,3,17
4,5,4,18
4,5,5,20
5,1,1,8
5,1,2,10
5,1,3,11
5,1,4,13
5,1,5,14
5,2,1,10
5,2,2,11
5,2,3,13
5,2,4,14
5,2,5,16
5,3,1,12
5,3,2,13
5,3,3,14
5,3,4,16
5,3,5,17
5,4,1,13
5,4,2,15
5,4,3,16
5,4,4,17
5,4,5,19
5,5,1,15
5,5,2,16
5,5,3,18
5,5,4,19
5,5,5,20
4,4,3,16
4,4,5,16
4,4,5,16
4,4,5,16
